2017-08-30 02:39:57: -- Analysis Started by On File Change Incremental
2017-08-30 02:39:57: 变更：48， 冲突：， 复制时间：， 复制状态：， 错误： , All: 307
2017-08-30 02:39:57: Left to Right: Copy File: 48 
2017-08-30 02:40:08: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_needle_.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_needle_.png'
2017-08-30 02:40:08: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/SplashScreen.scale-100.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/SplashScreen.scale-100.bmp'
2017-08-30 02:40:09: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/SplashScreen.scale-100.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/SplashScreen.scale-100.png'
2017-08-30 02:40:09: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic.bmp'
2017-08-30 02:40:09: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/playlist.py' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/playlist.py'
2017-08-30 02:40:10: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/symbian_tools.py' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/symbian_tools.py'
2017-08-30 02:40:10: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/tools.py' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/tools.py'
2017-08-30 02:40:10: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/util.py' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/util.py'
2017-08-30 02:40:10: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/white-list.cfg' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/white-list.cfg'
2017-08-30 02:40:10: ===== ：同步完毕。时间：00:00:13，速度： 63.0 KB/s =====, 项目同步未必： 48，错误： 
2017-08-30 02:40:10: 
